cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
Italy Cuisine,C3E8CVVwzKtOv_sRR1WuRQ,Salumeria Rosi,283 Amsterdam Ave,40.77932,-73.9809,477,4,10023
Italy Cuisine,hzPBADaUBQEL30MGrvKsww,Il Tinello Ristorante Italiano,16 W 56th St,40.76256,-73.97566,262,4.5,10019
Italy Cuisine,rtivWWzG0XjUuhSrwusTgQ,Fausto,348 Flatbush Ave,40.67597,-73.97181,142,4,11238
Italy Cuisine,Tgi-rDD3mxFi9uGybZxdaQ,Faun,606 Vanderbilt Ave,40.67826,-73.96885,140,4,11238
Italy Cuisine,pwzLpR9ys1NkE3ppjT88MQ,Pietro Nolita,174 Elizabeth St,40.7210205244336,-73.994662,439,3,10012
Italy Cuisine,WYhRkUATHRyXZrE55MArbA,Scalini Fedeli,165 Duane St,40.7173964385114,-74.0093277537459,299,4.5,10013
Italy Cuisine,gyWc5qJRvu26LVQIShdR4Q,Babbalucci,331 Lenox Ave,40.80894,-73.94496,376,4,10027
Italy Cuisine,ItyOhaRY5VeNAdK2liPEBg,Maria Restaurant,11 Huguenot St,40.9143109,-73.7736016,68,4.5,10801
Italy Cuisine,goqTQ4tOD-asC_ZJBW9l7w,Patsy's Italian Restaurant,236 W 56th St,40.76553,-73.98274,865,4,10019
Italy Cuisine,Zub6WrbrS_4XMI1mPbyeiw,La Panineria,1 W 8th St,40.7324876186231,-73.9967531074097,191,4,10011
Italy Cuisine,I0N_QtJy7sLiuW_vmvRIhg,Maruzzella,1483 1st Ave,40.77135,-73.95379,108,4,10075
Italy Cuisine,WYdrEMBXzOcxffpQczHKww,Ortomare Ristorante Pizzeria,994 Columbus Ave,40.80124,-73.96161,28,4.5,10025
Italy Cuisine,IiDfrdwPZJHbiuHdjaSJKA,Attraversa,225 W Broadway,40.71922,-74.00603,44,4.5,10013
Italy Cuisine,C3OlQ_y5LcgboyaKlpETYA,Trattoria Casa Di Isacco,536 9th Ave,40.75686,-73.99356,272,4,10018
Italy Cuisine,zg9Jrtx9rqTXeaqufSOxHQ,Masseria Dei Vini,887 9th Ave,40.7684,-73.98558,429,4,10019
Italy Cuisine,cGqMEMQFtkB3hIGfLy2R3A,Bar Pitti,268 Ave Of The Americas,40.729047,-74.002153,1005,3.5,10014
Italy Cuisine,vWa8iPUYDGAMSBCqMwJylQ,MangiPasta,608 E 187th St,40.85527,-73.88731,69,4.5,10458
Italy Cuisine,d7LM2UaxRQachlWhZGP_tg,Casa Bella Restaurant,127 Mulberry St,40.718179080217,-73.9979933232788,467,3,10013
Italy Cuisine,DD-hzjrGrWQiymt0Ws751w,Luna Ristorante,115 Mulberry St,40.71766,-73.99836,149,3,10013
Italy Cuisine,Lesv5BG0_0-8bB49cAjMkg,Roberto's,603 Crescent Ave,40.85372,-73.88834,244,4,10458
Italy Cuisine,UjzSeETESWzramhdOdWKKQ,Tartina,1034 Amsterdam Ave,40.8035073,-73.9636591,250,4,10025
